,name,city,country,latitude,longitude,starbucks,starbucks_lat,starbucks_lon,airport,air_lat,air_lon
15,Netvibes,Paris,FRA,48.870806,2.34668,Starbucks,48.8706754,2.3469117,Paris-Charles De Gaulle,49.0096906,2.5479245
16,FeedBurner,Chicago,USA,41.889474,-87.628912,Starbucks,41.89016000000001,-87.63125099999999,Chicago Midway International Airport,41.78677589999999,-87.7521884
17,WeFi,Fairfax,USA,37.09024,-95.712891,United States,37.09024,-95.712891,Coffeyville Municipal Airport,37.0941308,-95.5716456
18,TVtrip,Paris,FRA,48.856667,2.350987,Starbucks,48.8568201,2.3548934,Paris-Charles De Gaulle,49.0096906,2.5479245
19,Bebo,San Francisco,USA,37.782103,-122.401116,Starbucks,37.784833,-122.39996,San Francisco International Airport,37.6213129,-122.3789554
20,FlickIM,Berkeley,USA,37.870744,-122.269259,Starbucks,37.868791,-122.268212,Oakland International Airport,37.7125689,-122.2197428
21,Loomia,San Francisco,USA,37.796396,-122.404869,Starbucks,37.794632,-122.402728,San Francisco International Airport,37.6213129,-122.3789554
22,Terabitz,Palo Alto,USA,37.437328,-122.159928,Peet's Coffee,37.4380642,-122.159322,San Carlos Airport,37.5153754,-122.2503052
23,Eventbrite,San Francisco,USA,37.779507,-122.39071,Starbucks,37.777035,-122.393641,San Francisco International Airport,37.6213129,-122.3789554
24,Seesmic,San Francisco,USA,37.775196,-122.419204,Starbucks,37.7770595,-122.417347,San Francisco International Airport,37.6213129,-122.3789554
25,Flixster,San Francisco,USA,37.766909,-122.406676,Starbucks,37.7658845,-122.4034908,San Francisco International Airport,37.6213129,-122.3789554
26,spigit,Pleasanton,USA,37.6637279,-121.8731805,Starbucks,37.660676,-121.875909,Livermore Municipal Airport,37.6960965,-121.8196537
27,spigit,Reston,USA,38.9590083,-77.3592746,Starbucks,38.958891,-77.35914,Dulles International Airport,38.9531162,-77.45653879999999
28,spigit,London,GBR,51.5170385,-0.1394759,Starbucks Coffee,51.514458,-0.142504,London City Airport,51.5048437,0.049518
